commentBy,text,commentLikes,commentDate
vitorhugo7107,Hi five cute Bub❤️,1,19-03-19 12:37
abbylee.hood,Bub = superhero,0,19-03-19 12:50
dianejasinski,Love you Lil Bub ❤️❤️💋💋,3,19-03-19 12:51
skeela_princess_of_power_,🤗,2,19-03-19 12:54
gui.ahuja,😍❤️,0,19-03-19 12:55
ivory.muse,@ashtonhowethefirst,1,19-03-19 13:07
lstewart145,The best!!,0,19-03-19 13:12
brutus_and_nero,Such a cool competition! I wish we could enter from Australia!,0,19-03-19 13:39
brutus_and_nero,Such a cool competition! I wish we could enter from Australia!,2,19-03-19 13:39
brutus_and_nero,Such a cool competition! I wish we could enter from Australia!,2,19-03-19 13:39
ayyedeck,@emilyjaderuss,0,19-03-19 13:56
sa.far_935,Wooowwww,0,19-03-19 14:38
sa.far_935,😍,0,19-03-19 14:38
carlagoodcookie,Wo,0,19-03-19 14:54
carlagoodcookie,Wonderful,0,19-03-19 14:55
suze0605,So precious❤️,0,19-03-19 15:04
cortkort,"Lil Bub is toooo cute!! My cats are my heart and soul! They are both rescue but in reality they rescued! ❤️❤️ hopefully, I'll get the chance to rescue more animals in the futrue!!",0,19-03-19 15:20
heyvoonia,hi lil bub . from iran with love 💕💕💕,0,19-03-19 15:23
lavendercado,@hayleyheartbreak you're absolutely right ❤,1,19-03-19 15:45
bjagovino,❤❤❤,0,19-03-19 15:51
didi2515,Sei uscita,0,19-03-19 16:01
gibbsteele_x_o,I literally can't handle Bub. My emotions get all crazy 😭❤️,0,19-03-19 16:57
carla_autista,Ha ternurita,0,19-03-19 19:52
hayleyheartbreak,@lavendercado 😘,0,19-03-19 20:54
mincdiamond_firsttime,❤💕😺lilbub😺💕❤😘,0,19-03-19 22:53
madlittlesis,Is BUB familiar with Tiny Kittens? I think she would love them!,0,19-03-19 22:57
barraluca.pescador,So cute😍,0,19-03-19 23:01
garagenumber9,Found you while searching some hashtags. Fantastic!,0,19-03-19 23:06
reneethrift1,I 💗 little Bub 💗💗💗,0,20-03-19 1:05
michaelamiller,The most magical space kitty that ever existed 😻,0,20-03-19 1:47
wilbur_and_diana,@pvactx @lpapaws check this out,0,20-03-19 3:06
janmar319,BUB is darling now! But baby BUB must be the cutest kitten ever!!,0,20-03-19 3:35
ra.lnc,OK awesome ❤️❤️❤️❤️❤️❤️❤️,0,20-03-19 4:06
gipsystarr.77,❤️,0,20-03-19 4:32
aprile1969,Awwwww🐾❤️🐱,0,20-03-19 6:44
antiantipeta,"Can you stupid people get it through your skull, animals are meant to be eaten they are NOT meant to be pets",0,20-03-19 7:09
names_arent_worth_the_effort,@lavendercado death is a part of life and nothing lasts forever no reason to be sad about that,0,20-03-19 7:53
noelpitoy,E.T.,0,20-03-19 9:25
wintar1,What an adorable baby Bubs pic. 💖💖💖,0,20-03-19 10:12
ceilla.alliec,@thechih 😻,0,20-03-19 12:18
aeissee,Thanks for doing so much to help guys also she's so cute,,19-03-19 3:37
teme.id,👍👍👍,,19-03-19 3:49
jimenez_dominique,Little bubb 🥰,,19-03-19 4:06
justjoan2018,How did you ever sleep when this darling angel was such a little kitten,,19-03-19 5:15
molee_is_me,So cute,,19-03-19 5:17
susanlgabbard,❤️😍,,19-03-19 5:26
valleygirl.world,"Its a BABY bub!! Uggg, that is beyond precious!!❤️😻💖🐈😺🙌",,19-03-19 5:50
mallowcatandcompany,"You're an inspurration to kittehs everywhere, BUB! Keep leading the way :) ",,
