commentBy,text,commentLikes,commentDate
riverprncess,😻😻💖💖,0,18-03-19 16:42
annibekova,What breed is this ?,0,18-03-19 16:49
citybeat123,"Good afternoon, Bub。You are the reason I open instagram every day!",0,18-03-19 17:00
beckygrafx,Love her! ❤️💕😻,1,18-03-19 17:26
ireneviolet,Cute 😻😻,1,18-03-19 17:38
leajoxx,Sweetie,0,18-03-19 17:57
leajoxx,Ly,0,18-03-19 17:57
leajoxx,❤️😍💪🏼!!!,0,18-03-19 17:57
vetdiet,Cuteness over 9000 😍,0,18-03-19 18:28
nilgunkeskin80,😘😘😘😘,0,18-03-19 18:57
aleahkittycatunicorn,He is the most cutest cat in ZE world,1,18-03-19 19:25
bearcatmom81029,Bubs cuteness is AMAZING😍😍😍😍,2,18-03-19 19:45
andries_dou,how can there be so much in one little package?,2,18-03-19 22:02
mackz_halberg,@courtney.m.wagner,3,18-03-19 23:57
leomaccari,@d_nise_barros,0,19-03-19 1:17
aye_garciaa,@brookecookie95  a fav.,1,19-03-19 1:30
martha_m880,😍😍😍😍,1,19-03-19 1:40
madamekenzie,❤️😻😸,1,19-03-19 2:21
dakotalegg584,@ca.rsen,2,19-03-19 3:00
qomariyah_sitinurul,Gorgeous Bub. 😍😍😍😍,0,19-03-19 4:41
nimrahsalim,@sarahsalim93 I CAN’T HANDLE THIS LEVEL OF CUTE,0,19-03-19 6:47
sarahsalim93,@nimrahsalim I KNOW! I WANNA SMOOSH HER!,0,19-03-19 6:48
elle_katze_luv_,Hi cutie pie!!!!!😍😍😍😍♥️♥️♥️♥️,0,19-03-19 6:49
bluxic.uwu,So cute,0,19-03-19 9:33
soares.meduarda,❤️❤️❤️,0,19-03-19 12:00
andsoliveira,❤️,0,19-03-19 12:19
jirschy,@hooray_mooray that face,0,19-03-19 12:33
lovelygrayday,MAGIC 🦄,0,19-03-19 13:23
diabetes101founder,Lol @iamlilbub dad can you give her the biggest hugs and kisses for me! 🥰🐾🐾🐾🤗🤗she warms my heart and I can’t reach her!😍😘xoxo lil Bub!!,0,19-03-19 14:19
narcohuddy,Omg yes it is 😻,0,19-03-19 15:41
essentialpetlife,How stinking cute! 😍,0,19-03-19 16:35
kth_gucci95,Im in love 😍❤,0,19-03-19 18:06
caroline.0107,😍😍,0,19-03-19 18:50
carla_autista,🤗🐈,0,19-03-19 19:52
vero4733,❤️❤️😍😍,0,19-03-19 21:08
sunnymundo,@iamlilbub can you visit me for a cuddle? You’re adorable ❤️,0,20-03-19 0:24
miss.erable,@nicholas.g.lindner,0,20-03-19 2:21
luisgonzalez8071,Linda so cute.,0,20-03-19 5:19
luisgonzalez8071,Lindo I mean cute.,0,20-03-19 5:23
polaroid.idiocity,"@polaroid.idiocity wait, MY DAUGHTER",,18-03-19 11:55
tomatolady22,He eyes are just the sweetest thing!!!!❤️❤️❤️,,18-03-19 12:00
shinichimatsushita,😀💕,,18-03-19 12:19
mr.hairypotter,So cute 😻😻😻😻😻,,18-03-19 12:21
_instawinston_,😻😻😻,,18-03-19 13:24
schneerinaaa_55,@gian899,,18-03-19 13:51
protectmypetsuk,Love it! <3,,18-03-19 13:58
blissedbomb,😍,,18-03-19 14:11
dakinhumanesociety,It’s true. There is simply NO reasoning with this cuteness. 😍,,18-03-19 14:11
blissedbomb,And I want to kiss her little face!,,18-03-19 14:11
puppy__luppy,😻😻😻😻,,18-03-19 14:16
gaeawarrior84,I agree. Completely unreasonable,,18-03-19 14:30
jeduardo1990,Good morning fluffy chubby,,18-03-19 14:49
bittersweet4x4,@runforrest_goforrest_,,18-03-19 15:06
reginaloveshercat,I'm so offended by this ridiculous cuteness right now...I'm gonna go eat some revenge tuna and not share it.,,18-03-19 15:15
hdjycx7,Hello baby girl,,18-03-19 15:42
runforrest_goforrest_,@bittersweet4x4 omg 😍 bubs 🙈💕,,18-03-19 15:45
edenrosenfeld,"Namaste. What incredible ability, you have a gift 🖤",,18-03-19 16:03
preciousgoldenhead,I love you lilbub ❤️❤️❤️❤️❤️❤️❤️❤️❤️,,18-03-19 16:17
delawarevalleyhumanesociety,Entirely unreasonable. ❤️,,18-03-19 16:17
mnhodges9199,"Yes, yes it is!💕",,18-03-19 7:30
laurarey211,So gorgeous- makes my heart sing 😚❤,,18-03-19 7:30
naomi9411,Magical 💝💝💝,,18-03-19 7:35
roman.sergeevicch,https://www.instagram.com/p/BwYzuvUHyQp/?utm_source=ig_share_sheet&igshid=60rgun474wef,,18-03-19 7:36
roman.sergeevicch,Please help,,18-03-19 7:36
oflivious,...unreasonable AND otherworldly!😄👍🏻🐾❤️🐾,,18-03-19 7:50
peachespurrrsian,I love u lil bub 🧡,,
