commentBy,text,commentLikes,commentDate
pineeko,SNEAKY FACE 😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂😏😂,0,15-03-19 6:14
tylerkurzdorfer_,@tunameltsmyheart how old is tuna? btw he's freaking adorable 😅,0,15-03-19 6:25
malbec723,😂😂,0,15-03-19 7:41
amospearce,🤣🤣🤣🤣 So funny,0,15-03-19 7:59
walkseasuk,Tuna! 😍😮 - Contact For Pet Services @walkseasuk 🔻,1,15-03-19 8:18
kirsten.lehberger,Adorable 💝🐶,0,15-03-19 8:46
luvmycatcher22,Mom I just snuggling.,0,15-03-19 9:09
gnox_ph,@imdanielebonanni no è un dolcino 😍,0,15-03-19 10:42
arfchis,Just watch the road mom I got this!,0,15-03-19 11:45
abi_moods,@macsip 😂 so innocent,0,15-03-19 12:00
whatawalterfulworld,They’re plotting against you 😂😂,0,15-03-19 12:02
staceyjones2050,Mom I got this just drive.. lol😂,0,15-03-19 12:24
jeduardo1990,Good morning Tuna,0,15-03-19 15:11
rosie_the_shibachi,The cutest 😍,0,15-03-19 15:46
jwanko91,@mousenation_  @randi1258  tuna is so funny,0,15-03-19 16:35
samanthaspinelle,@biazandona 😂,1,15-03-19 16:53
tiffanylynne1010,@tlandreth2 I love him,1,15-03-19 17:18
li.nda8879,🤭🙄😬 Busted 😟,0,15-03-19 17:26
stacyhuss64,It's good he's not a Great Dane😂,0,15-03-19 17:36
hollyhotpants,@thisgoldengirl Read the caption 🤣,0,15-03-19 18:10
tha_prttygrl,@nikthebomb_,0,15-03-19 18:52
twufflepig,Just guarding the precious cargo.,0,15-03-19 19:26
lifeanonymous,😂,0,15-03-19 19:54
bark,"They’re having a private conversation, don’t interrupt",0,15-03-19 20:50
isabarile_,@calega.ri KKKK coisa fofa,1,16-03-19 0:23
rileyp2013,I suspect a face cleaning happened.,0,16-03-19 0:28
calega.ri,@isabarile_ mano hahahahahah 🖤😍,1,16-03-19 3:22
sincerelykiramarie,Oh my gosh lol 😹💕💕💕💕,0,16-03-19 15:39
nanapoodle_black,Seguimi,0,16-03-19 16:23
julzeefox,@emshepmua ❤️,0,16-03-19 16:41
emshepmua,@julzeefox Jeez and you think Dave is ugly! 😂,0,16-03-19 16:44
guerrarr,Cute and beautiful!!😂😍😂😍😂😍👏👏👏💋❤💋❤💋❤🌹🌹🌹,0,16-03-19 21:04
bresquilla12,@xavigo_cuina,0,16-03-19 22:59
christie_skylar,Aww! I LOVE this picture! It reminds me of my German Shepherd and my daughter when she was younger. I took the cover off the back of my SUV and put my dog in the trunk space.  Since she’s a larger dog she was able to get her head and body over the seat to check on her “little sister” and drooled all over this poor child’s head.,0,17-03-19 4:21
lexi103010,He's just keeping her safe and loving her!! Lol,0,17-03-19 7:38
tesshill_,@__chill__ 😂😂😂😂😂😂 too much,0,17-03-19 12:27
smaileencastro5,Cute  dog,0,17-03-19 15:24
__chill__,@tesshill_ 😂😂😂,0,17-03-19 19:38
lenamuellner,❤️❤️❤️❤️,0,17-03-19 22:43
lemmy_infludog,"Hey hommie, follow me to see me grow perro.",0,18-03-19 13:59
hippychic819,😂😂😂,,15-03-19 0:38
jessmunroeblais,@adamblais11 hahahahaha,,15-03-19 0:58
shishikoon,.......what??,,15-03-19 1:08
thereal.kentuckyandparker,Omg 🙈💙💙💙💙,,15-03-19 1:16
georgiaglamping,What a sassy face! 😊,,15-03-19 1:34
cdrobinson61,😂😂😂😂,,15-03-19 2:09
eve_slobodzian,😂😂😂,,15-03-19 2:17
adventureofmary,😂,,15-03-19 2:32
kelseyraerussell,@shawan77 if Cody was smaller...,,15-03-19 2:34
brianagoldman,Always watching 😂💕,,15-03-19 2:39
theobriengang,Uh oh!!!🤣💖❤️,,15-03-19 2:40
alexaraec,@kristyrose12,,15-03-19 2:57
alexaraec,@kristyrose12,,15-03-19 2:57
macsip,@abi_moods you,,15-03-19 3:08
macsip,@macsip this will be your life lmaooo,,15-03-19 3:09
mrrio99,❣️❣️,,15-03-19 3:12
lizhallrealtor,🤣🤣🤣,,15-03-19 3:59
carriecusenz,"Tuna says “Don’t worry mom, I got this, I’m keeping an eye on my sister for you!” He’s so stinkin cute!",,15-03-19 4:21
darlaobryan,I can't stand how sweet he is!!!!,,15-03-19 4:25
doxie_and_2labs,The Protector 😉,,15-03-19 4:43
kdubbs85,I had a chihuahua who has done this with all 3 babies. ❤️ so cute,,14-03-19 20:35
amandagor12,@pharand14 Luna for sure,,14-03-19 20:38
greekgirlsmom,He’s just making sure the baby is ok!,,14-03-19 20:47
holly_mcmolly,@maeve_n  Maisie!,,14-03-19 20:55
floraletiquette,So adorable! He LAAAVS his baby! 💗,,14-03-19 21:14
romeu002,@mena_alves 😂😍,,14-03-19 21:31
frau_metzger,Lol we can relate.,,14-03-19 21:35
lilmunchkingirls,“what? i’m just keeping her company!” 😂,,14-03-19 21:42
osusars,😂😂😂,,14-03-19 21:44
irvinegirl1969,It’s called baby sitting mom. Sheesh. Lol. He takes his job very seriously.,,14-03-19 21:45
pinklemonkitty,Darling 😍,,14-03-19 22:06
pegi_griffin_everett,🤣😂😆!,,14-03-19 22:13
